synset_id,word_in_def,definition
awn3-00046648-n,استعادة,عملية استعادة الأشياء الضائعة أو المأخوذة والحصول عليها من جديد.
awn3-00082392-n,خيار الشراء,خيار الشراء هو عقد يسمح لحامله بشراء أصل ما خلال فترة محددة بسعر محدد.
awn3-00125700-n,الاتصال الجسدي,عملية الاتصال الجسدي أو المادي بشيء آخر
awn3-00203869-n,رد فعل عنيف,رد فعل عنيف تجاه حدث سياسي أو اجتماعي
awn3-00217041-n,إنهاء عمل,إنهاء عمل شخص ما (منحه حرية المغادرة)
awn3-00603335-n,سكرتاريا,السكرتاريا : منصب يعمل فيه مجموعة من الأشخاص وظيفتهم تسهيل العمل للرؤساء وتزويدهم بالمعلومات ومساعدت
awn3-01117483-n,عملية بيع,عملية بيع محددة في وقت ومكان معين
awn3-02865226-n,هيكل,الهيكل الخارجي للمركبة
awn3-03138189-n,أدوات المائدة,أدوات المائدة جميعها (الخاصة بتناول الطعام وتقديمه)
awn3-04012006-n,إصلاحية,مؤسسة إصلاحية يتم احتجاز الناس فيها فترة المحاكمة أو العقوبة
awn3-04431353-n,أداة,أداة بسيطة من صنع الإنسان
awn3-05257118-n,تجويف,فتحة أو ثقب يفتح في تجويف جسدي
awn3-05712213-n,تركيز,شدة التركيز والاهتمام بأمر ما دوناً عن غيره
awn3-05950141-n,إيمان,الشعور باليقين والإيمان تجاه شيء موجود أو صحيح
awn3-05990431-n,وجهة,مصطلح قديم يعني الهدف أو الوجهة
awn3-06280049-n,مقطع,تأليف فني أو أدبي بشكل مقطع تمت كتابته أو أداؤه صوتياً أو تمثيلياً
awn3-06423235-n,مرجع,عمل مكتوب يعتبر مرجعاً موثوقاً
awn3-07204071-n,الدعاء,الدعاء لنيل الحماية الإلهية
awn3-07424530-n,ارتجاج,ضربة عنيفة تسبب ارتجاجاً في الدماغ
awn3-07444811-n,تشويش,نشاط كهربائي أو صوتي يتسبب في تشويش اتصال
awn3-07503480-n,انجذاب,شعور رومانسي قوي بالانجذاب والرغبة الجنسية
awn3-07520080-n,تعاطف,شعور بالتعاطف مع شيء أو شخص
awn3-07718387-n,الإفطار,أي طعام يقدم في وجبة الإفطار عادة ( الحبوب خاصة )
awn3-07962404-n,على قيد الحياة,الناس الذين ما زالوا على قيد الحياة
awn3-07967506-n,مجموعة,مجموعة أشخاص يتفاعلون مع بعضهم ويشتركون في خصائص متشابهة
awn3-08070159-n,الاتحاد السوفييتي,حكومة الاتحاد السوفييتي
awn3-08531106-n,مكان,مكان تتركز فيه نشاطات معينة
awn3-08651532-n,مطار,المكان ( سواء من جانب البحر أو من المطار ) حيث الناس أو السلع تغادر أو تدخل البلاد
awn3-09389214-n,مرتفع,كتلة جغرافية طبيعية مرتفعة عن سطح الأرض
awn3-09572887-n,الثريا,في الميثولوجيا الإغريقية كانت الثريا سبع أخوات لأطلس تحولن إلى مجموعة نجوم
awn3-09940867-n,ساذج,الشخص الساذج سهل الانخداع الذي يمكن الاحتيال عليه واستغلاله
awn3-10304832-n,الأرستقراطي,الرجل من أبناء الطبقة الأرستقراطية الحاكمة قديماً
awn3-10473089-n,البابا,البابا، أسقف روما ورأس الكنيسة الكاثوليكية خليفة القديس بطرس
awn3-10689430-n,تابع,من يكون ضمن فئة أدنى من الغيرويعامل معاملة دونية وتابع لسلطة غيره
awn3-13312212-n,تعويض,تعويض يقابل شيئاً آخر
awn3-14039585-n,المزاج,المزاج والحالة الذهنية النفسية للشخص في وقت معين وتأثيرها عليه
awn3-14496806-n,أوضاع,جميع الأوضاع والأحوال التي يعيش ضمنها الشخص وتؤثر في حياته
awn3-14548451-n,محيط,محيط أو بيئة معينة ذات تأثير
awn3-14733426-n,إيثانول,مادة قابلة للاشتعال عديمة اللون تتكون من تخمر السكر، وهي العامل المسبب للسكر في المشروبات الكحولية ا
awn3-15184779-n,تاريخ,يوم بتاريخ معين يحدد فيه حدوث شيء ما
awn3-15205381-n,لحظة,لحظة من الزمن
awn3-00002573-v,تنفس,يستعيد تنفسه الطبيعي بعد التعب أو التوتر
awn3-00058790-v,تحمل,تحمل مولوداً وتنتظر قدومه
awn3-00100305-v,مرّن,يساعد ويمرّن المتدرب على أداء التمارين الرياضية، أو يعطيه التمارين ليقوم بها
awn3-00208136-v,حط من قدر,يحط من قدر، يُنزل الرتبة، ويسيء للسمعة، ويُحقّر
awn3-01183592-v,ساعد,يساعد في جلب الطعام والشراب للشخص
awn3-01197832-v,أخذ عينة,يأخذ عينة من شيء ما حتى يجربه ويحكم عليه
awn3-01574185-v,قطع الرأس,يقتل بقطع الرأس وفصله عن الجسد
awn3-02228837-v,تخلص,يتخلص ويرمي بعيداً
awn3-02551275-v,خاطر,يقوم بشيء يجعله يخاطر بخسارة شيء أو التسبب بأذى له
awn3-00028393-a,صحيح,معترف به كفرضية صحيحة
awn3-00086488-r,سريع,بطريقة سريعة (تستخدم في عبارة مركبة)
