synset_id,pos,definition,has_ili
awn3-00065266-v,v,يكون بصحة جيدة ولا يشتكي من الأمراض,False
awn3-00416753-v,v,يعيد الاستقرار في مكان آخر,True
awn3-00503166-v,v,يجبره على تبني الفكر النازي أو الشخصية النازية,True
awn3-00733144-v,v,يحسب القيمة الحالية للنشاط أو الدخل التجاري ويحوله إلى رأسمال,True
awn3-01091548-v,v,يتمركز الجنود في مكان محصن يحمونه ويدافعون عنه,True
awn3-01137207-v,v,يطلق قذيفة من سلاح ما,True
awn3-01139261-v,v,يستخدم المدفع الرشاش سلاحاً يطلق منه النار,True
awn3-01151793-v,v,يعمل على توزيع القوات والأسلحة في تشكيلة إستراتيجية استعداداً للمعركة,False
awn3-01152630-v,v,يحاول أخذ الكرة من الفريق الآخر عن طريق جعل اللاعب يسقط,True
awn3-01441539-v,v,يتسبب في وصول شخص أو شيء إلى حالة معينة,True
awn3-02249385-v,v,يحول الممتلكات والأصول إلى نقد مالي,True
awn3-02396335-v,v,يضع الملك أو الملكة على العرش خلال مراسم التنصيب لتحديد البداية الرسمية لفترتهم في السلطة,True
awn3-02454205-v,v,يمنع الدخول إلى مكان ما,True
awn3-02539573-v,v,يصبح أكثر ديمقراطية,True
