synset_id,pos,words,definition
awn3-00951435-n,n,تَطْبِيق,نقل شيء ما إلى التنفيذ بشكل عملي ، واستخدامه لغرض معين
awn3-03739038-n,n,"واسِطَة, وَسِيلَة",أداة لإنجاز شيء ما بواسطتها
awn3-05694760-n,n,صُعُوبَة,عامل يسبب مشكلة في تحقيق نتيجة إيجابية أو يميل إلى التسبب بنتيجة سلبية
awn3-06631572-n,n,"اِسْتِعْرَاض, عَرْض",حدث اجتماعي يتضمن أداء شعبياً لمختلف الفنون
awn3-00811359-n,n,هِنْدُوسِيَّة,الديانة السائدة في الهند وتتميز بعبادة العديد من الآلهة وبالإيمان بالتناسخ
awn3-08269132-n,n,لِقاء اِجْتِماعِيّ,تجمع لغرض تعزيز الزمالة بين الأشخاص
awn3-08517241-n,n,"أعْمَاق, عُمْق",أبعد وأعمق منطقة
awn3-14431490-n,n,صُعُوبَة,حالة من الضيق والحرج والعناء في أمر يحتاج إلى جهد حتى يمكن التغلب عليه بسهولة
awn3-00065266-v,v,,يكون بصحة جيدة ولا يشتكي من الأمراض
awn3-00078154-v,v,عَانَى,يشعر بأنه في حال سيئة وغير مرتاح
awn3-00107747-v,v,كَسَرَ,يكسر عظمة
awn3-00363001-v,v,"قَطَعَ, أَوْقَفَ",يمنع الاستمرار في الشيء وينهيه
awn3-00550851-v,v,"اِلْتَفَتَ إِلَى, اِنْصَرَفَ إِلَى",يتجه باهتمامه وانتباهه إلى شيء أو مجال معين
awn3-00596900-v,v,جَهِلَ,يكون غير عارف بالشيء
awn3-00597025-v,v,أَيْقَنَ,يكون عارفاً بحقيقة مطلقة، مؤمناً بها ومتيقناً منها ولا مجال للشك فيها
awn3-00723361-v,v,إِكْتَشَفَ,يجد شيئاً ما ( معلومات، مكان، شيء ) للمرة الأولى لم يكن معروفاً من قبل
awn3-01086999-v,v,سجّل,يسجل نقطة احتياطية ( كرة القدم الأمريكية)
awn3-01151793-v,v,,يعمل على توزيع القوات والأسلحة في تشكيلة إستراتيجية استعداداً للمعركة
awn3-01160888-v,v,"اِسْتَنْفَدَ, اسْتَنْزَف",يستهلك المادة حتى انتهائها تماماً
awn3-01190875-v,v,شَبِعَ,ملأ معدته بما يكفي من الطعام وأكثر
awn3-01746607-v,v,رَبَّى,
awn3-01798679-v,v,عَانَى,يمرّ بتجربة مريرة ومؤلمة
awn3-01828281-v,v,تَمَنَّى,يأمل تحقيق أمر ما
awn3-02125976-v,v,"عَانَى, تَأَلَّمَ",يشعر بألم في جسده
awn3-02301687-v,v,قَدَّمَ,يوفر شيئاً ويجعله متاحاً
awn3-02424173-v,v,مَارَسَ,ينخرط في نشاط ما يكون لغرض المتعة غالباً
awn3-02523827-v,v,تَصَرَّفَ,يتصرف بطريقة معينة
awn3-02736899-v,v,بَقَى,
