English,Arabic,Found,Num_Senses
I/me,أنا,Yes,1
you,أنت,No,0
we,نحن,No,0
this,هذا,No,0
that,ذلك,No,0
who,من,No,0
what,ما,No,0
not,لا,Yes,2
all,كل,Yes,4
many,كثير,Yes,1
one,واحد,Yes,2
two,اثنان,Yes,1
big,كبير,Yes,1
long,طويل,No,0
small,صغير,Yes,4
woman,امرأة,Yes,1
man,رجل,Yes,5
person,شخص,Yes,3
fish,سمك,Yes,2
bird,طائر,Yes,2
dog,كلب,Yes,1
tree,شجرة,Yes,1
seed,بذرة,Yes,1
leaf,ورقة,Yes,5
root,جذر,Yes,5
skin,جلد,Yes,10
blood,دم,Yes,1
bone,عظم,Yes,6
egg,بيضة,Yes,1
horn,قرن,Yes,3
tail,ذيل,Yes,5
feather,ريشة,No,0
hair,شعر,Yes,8
head,رأس,Yes,7
ear,أذن,Yes,6
eye,عين,Yes,41
nose,أنف,No,0
mouth,فم,Yes,2
tooth,سن,Yes,5
tongue,لسان,Yes,2
hand,يد,Yes,2
foot,قدم,Yes,63
heart,قلب,Yes,25
liver,كبد,Yes,3
water,ماء,Yes,6
fire,نار,Yes,4
sun,شمس,Yes,2
moon,قمر,Yes,3
star,نجم,Yes,1
earth,أرض,Yes,10
stone,حجر,Yes,8
sand,رمل,Yes,1
mountain,جبل,Yes,2
night,ليل,Yes,5
day,يوم,Yes,7
year,سنة,Yes,4
name,اسم,Yes,6
eat,أكل,Yes,5
drink,شرب,Yes,9
sleep,نام,Yes,3
die,مات,Yes,5
kill,قتل,Yes,21
walk,مشى,Yes,22
come,جاء,Yes,9
go,ذهب,Yes,20
see,رأى,Yes,19
hear,سمع,Yes,14
know,عرف,Yes,29
think,فكر,Yes,16
say,قال,Yes,16
give,أعطى,Yes,17
